data size,exec time n eq 2,exec time n eq 16,exec time n eq 64,exec time n eq 256,exec time n eq 1024
10,0.0000590,0,0,0,0
30,0.0000680,0.0000960,0,0,0
100,0.0000940,0.0001060,0.0001750,0,0
300,0.0001500,0.0001130,0.0002090,0.0010350,0
1000,0.0007660,0.0002080,0.0003160,0.0011260,0
3000,0.0056420,0.0008020,0.0006780,0.0021090,0.0120260
10000,0.0609820,0.0063230,0.0029650,0.0055950,0.0236690
30000,0.6621090,0.0534820,0.0167020,0.0172210,0.0603350
100000,8.1254130,0.7024150,0.1899410,0.0798120,0.1823670
300000,77.4820010,6.9452700,1.5443510,0.4456720,0.6204800
1000000,879.8185970,80.0112690,19.3337770,4.6218090,2.9271500
